Part,Quantity,Link
Quad OR Gate,1,https://www.digikey.com/en/products/detail/texas-instruments/SN74HC32N/277235
Bussman CB285-80,1,https://powerwerx.com/bussmann-cb285-80-circuit-breaker-surface
7805 Voltage Regulator + Heatsink OR Generic LM2596 Module,1,https://www.digikey.com/en/products/detail/on-semiconductor/MC7805CTG/919333
,,https://www.amazon.com/LM2596-Converter-Module-Supply-1-23V-30V/dp/B008BHAV4Y
100nF Capacitor,1,Just find one
1uF Capacitor,1,Just find one
10K Resistor,4,Just find one
150 Resistor (or close to 150),1,Just find one
NC SPST or DPST Switch,1,Just find one
"Picker PC7150-1C-C2-12C-N-X 150A Maxi ISO Relay, 12V, SPDT",1,Too tired to find a link
PMOS Mosfet IRL540,1,https://www.digikey.com/en/products/detail/vishay-siliconix/IRL540/51133
1N4007 Diode,1,https://www.digikey.com/en/products/detail/on-semiconductor/1N4007/965481
